transaction_id,transaction_date,transaction_amount,transaction_fee,transaction_status,fraud_flag,customer_id,customer_type,merchant_id,merchant_category,payment_method,country
1,2023-04-13,446.76,4.1,Success,0,4640,Existing,397,Gaming,Credit Card,USA
2,2023-12-15,606.62,1.1,Success,0,3605,Existing,532,Gaming,Debit Card,ES
3,2023-09-28,337.18,1.6,Success,0,6418,New,599,Gaming,Credit Card,TN
4,2023-04-17,133.42,4.34,Success,0,3002,Existing,609,Travel,Debit Card,TN
5,2023-03-13,390.16,2.85,Failed,0,6629,Existing,771,Gaming,Credit Card,USA
6,2023-07-08,89.87,1.19,Success,0,6377,New,777,Retail,Bank Transfer,UK
7,2023-01-21,76.86,3.27,Success,0,6244,Existing,679,Retail,Debit Card,FR
8,2023-04-13,389.39,3.14,Success,0,2503,Existing,205,Gaming,Credit Card,DE
9,2023-05-02,152.0,2.98,Success,0,6458,Existing,419,Retail,Bank Transfer,FR
10,2023-08-03,283.04,2.03,Failed,0,6411,Existing,238,Subscriptions,PayPal Balance,IT
11,2023-11-27,411.04,2.33,Success,0,7720,Existing,281,Retail,Debit Card,TN
12,2023-03-29,424.46,3.92,Success,0,6307,New,221,Subscriptions,Bank Transfer,IT
13,2023-04-10,169.41,4.67,Success,0,3196,Existing,266,Subscriptions,Bank Transfer,CA
14,2023-12-26,633.74,3.1,Success,0,1532,Existing,352,Travel,Debit Card,CA
15,2023-06-01,151.48,4.7,Success,0,3757,Existing,792,Travel,Debit Card,IT
16,2023-05-11,810.35,1.29,Success,0,4789,New,707,E-commerce,Credit Card,FR
17,2023-05-30,613.68,1.81,Success,0,4953,New,333,Travel,Credit Card,ES
18,2023-11-05,133.61,4.26,Success,0,5677,New,239,Gaming,Bank Transfer,TN
19,2023-09-15,403.19,4.83,Success,0,4145,Existing,687,Retail,PayPal Balance,FR
20,2023-12-10,95.58,4.51,Success,0,8567,Existing,681,Gaming,PayPal Balance,UK
21,2023-10-21,320.79,2.71,Failed,0,7959,Existing,307,Gaming,Credit Card,ES
22,2023-07-11,392.04,4.15,Success,0,7390,Existing,744,Retail,Credit Card,TN
23,2023-10-04,452.52,1.41,Success,0,1212,New,594,Gaming,Debit Card,DE
24,2023-06-10,54.82,1.93,Success,0,1945,New,508,E-commerce,Credit Card,IT
25,2023-11-10,241.11,4.99,Success,0,4796,Existing,415,Retail,Debit Card,UK
26,2023-01-22,195.22,1.3,Success,0,7463,Existing,439,Travel,PayPal Balance,ES
27,2023-09-10,104.61,1.59,Success,0,2797,Existing,785,Retail,PayPal Balance,CA
28,2023-08-24,96.08,3.75,Success,0,7110,Existing,579,Gaming,Credit Card,TN
29,2023-12-11,100.62,3.51,Success,0,7495,Existing,240,E-commerce,Bank Transfer,IT
30,2023-02-18,553.96,3.73,Success,0,2972,Existing,671,Retail,PayPal Balance,CA
31,2023-02-28,194.84,4.78,Failed,0,6212,New,766,Travel,Credit Card,IT
32,2023-06-19,197.99,1.04,Success,0,1967,Existing,215,E-commerce,Credit Card,FR
33,2023-07-07,192.13,3.1,Success,0,7313,New,338,Subscriptions,PayPal Balance,DE
34,2023-09-28,241.57,1.66,Failed,0,5668,Existing,613,Retail,Credit Card,USA
35,2023-07-09,269.19,2.27,Success,0,5442,Existing,228,Subscriptions,PayPal Balance,TN
36,2023-06-24,189.97,1.96,Success,0,4590,Existing,677,Retail,Credit Card,ES
37,2023-02-20,282.83,4.69,Success,0,8272,Existing,646,Gaming,Debit Card,CA
38,2023-12-30,372.69,4.76,Success,0,2790,Existing,742,Retail,Debit Card,ES
39,2023-02-24,486.25,2.74,Success,0,5507,Existing,707,Gaming,Bank Transfer,ES
40,2023-09-01,194.42,3.78,Success,0,3048,Existing,210,E-commerce,PayPal Balance,UK
41,2023-11-16,78.9,1.45,Failed,0,7137,New,224,Subscriptions,PayPal Balance,USA
42,2023-05-11,562.62,2.02,Success,0,3508,Existing,377,E-commerce,Debit Card,FR
43,2023-11-03,53.21,3.46,Success,0,4614,Existing,707,E-commerce,Bank Transfer,ES
44,2023-05-15,40.48,3.53,Success,0,4410,Existing,382,Retail,Credit Card,FR
45,2023-01-21,243.3,4.59,Failed,0,8443,Existing,711,Gaming,Debit Card,UK
46,2023-11-25,195.58,3.9,Failed,0,6814,New,573,E-commerce,Debit Card,USA
47,2023-06-16,201.98,4.29,Success,0,6328,Existing,529,Retail,Debit Card,DE
48,2023-10-01,228.27,4.21,Refunded,0,5033,Existing,731,Gaming,Bank Transfer,TN
49,2023-03-30,339.0,1.72,Failed,0,4831,New,428,Gaming,Debit Card,DE
50,2023-11-12,325.9,4.16,Success,0,6558,New,635,Subscriptions,Credit Card,ES
51,2023-01-14,394.76,1.43,Success,0,4321,Existing,699,Travel,Bank Transfer,USA
52,2023-08-30,182.72,0.56,Success,0,6005,Existing,697,E-commerce,Credit Card,IT
53,2023-09-22,399.27,3.27,Success,0,4855,Existing,589,Retail,Credit Card,TN
54,2023-12-12,323.47,2.14,Success,0,7956,Existing,595,Travel,Bank Transfer,ES
55,2023-02-22,252.58,3.52,Success,0,4238,Existing,717,Retail,Bank Transfer,ES
56,2023-12-06,388.75,1.5,Success,0,6508,Existing,467,Retail,Bank Transfer,ES
